AAA,American Automobile Association
AAB,American Association of Bioanalysts
AAC,Augmentative and Alternative Communication
AAD,American Academy of Dermatology
AAE,African American English
AAF,Army Air Forces
AAG,Association of American Geographers
AAH,American Association of Humanists
AAI,American Anthropological Institute
AAJ,American Association for Justice
AAK,Advanced Armament Kit
AAL,Above Aerodrome Level
AAM,Air-to-Air Missile
AAN,American Academy of Neurology
AAO,American Academy of Ophthalmology
AAP,American Academy of Pediatrics
AAQ,Automated Annotation Quality
AAR,After Action Report
AAS,American Astronomical Society
AAT,Animal Assisted Therapy
AAU,Amateur Athletic Union
AAV,Amphibious Assault Vehicle
AAW,Anti-Air Warfare
AAX,Advanced Audio Exchange
AAY,Advanced Aerospace Year
AAZ,American Association of Zoologists
ABA,American Bar Association
ABB,Automated Building Block
ABC,American Broadcasting Company
ABD,All But Dissertation
ABE,Adult Basic Education
ABF,Australian Banking Federation
ABG,Arterial Blood Gas
ABH,Actual Bodily Harm
ABI,Acquired Brain Injury
ABJ,American Board of Justice
ABK,Advanced Base Kit
ABL,Atmospheric Boundary Layer
ABM,Anti-Ballistic Missile
ABN,Airborne
ABO,ABO Blood Group
ABP,Arterial Blood Pressure
ABQ,Albuquerque
ABR,Auditory Brainstem Response
ABS,Anti-lock Braking System
ABT,American Ballet Theatre
ABU,Airman Battle Uniform
ABV,Alcohol By Volume
ABW,Air Base Wing
ABX,Automated Business Exchange
ABY,Albany Regional Airport
ABZ,Aberdeen Airport
ACA,Affordable Care Act
ACB,Air Circuit Breaker
ACC,Air Combat Command
ACD,Automatic Call Distribution
ACE,Angiotensin Converting Enzyme
ACF,Administration for Children and Families
ACG,American College of Gastroenterology
ACH,Automated Clearing House
ACI,Airports Council International
ACJ,Airbus Corporate Jet
ACK,Acknowledgment
ACL,Access Control List
ACM,Association for Computing Machinery
ACN,American College of Nutrition
ACO,Accountable Care Organization
ACP,American College of Physicians
ACQ,Acquisition
ACR,American College of Radiology
ACS,American Chemical Society
ACT,American College Testing
ACU,Army Combat Uniform
ACV,Armored Combat Vehicle
ACW,After Call Work
ACX,Advanced Communication Exchange
ACY,Atlantic City Airport
ACZ,Advanced Combat Zone
ADA,Americans with Disabilities Act
ADB,Asian Development Bank
ADC,Analog-to-Digital Converter
ADD,Attention Deficit Disorder
ADE,Adverse Drug Event
ADF,Automatic Direction Finder
ADG,Assistant Director General
ADH,Antidiuretic Hormone
ADI,Acceptable Daily Intake
ADJ,Adjective
ADK,Adirondack
ADL,Activities of Daily Living
ADM,Admiral
ADN,Associate Degree in Nursing
ADO,ActiveX Data Objects
ADP,Adenosine Diphosphate
ADQ,Adequate
ADR,Alternative Dispute Resolution
ADS,Automatic Dependent Surveillance
ADT,Atlantic Daylight Time
ADU,Accessory Dwelling Unit
ADV,Adventure
ADW,Assault with Deadly Weapon
ADX,Administrative Maximum
ADY,Admiralty
ADZ,Air Defense Zone
AEA,American Electronics Association
AEB,Autonomous Emergency Braking
AEC,Atomic Energy Commission
AED,Automated External Defibrillator
AEE,Association of Energy Engineers
AEF,American Expeditionary Forces
AEG,Allgemeine Elektricitäts-Gesellschaft
AEH,Advanced Electronic Health
AEI,American Enterprise Institute
AEJ,Association of European Journalists
AEK,Advanced Encryption Key
AEL,Acceptable Exposure Limit
AEM,Analytical Electron Microscopy
AEN,Advanced Emergency Nursing
AEO,Authorized Economic Operator
AEP,Auditory Evoked Potential
AEQ,Audio Equipment
AER,Army Emergency Relief
AES,Advanced Encryption Standard
AET,Atomic Energy Technology
AEU,Arab Emirates Union
AEV,All Electric Vehicle
AEW,Airborne Early Warning
AEX,Amsterdam Exchange
AEY,Akureyri Airport
AEZ,Agro-Ecological Zone
AFA,Air Force Association
AFB,Air Force Base
AFC,American Football Conference
AFD,Alternative Fuel Depot
AFE,Authorization for Expenditure
AFF,Affirmative
AFG,Afghanistan
AFH,Armed Forces Hospital
AFI,Air Force Instruction
AFJ,Armed Forces Journal
AFK,Away From Keyboard
AFL,American Football League
AFM,Air Force Manual
AFN,Armed Forces Network
AFO,Ankle Foot Orthosis
AFP,Alpha Fetoprotein
AFQ,Armed Forces Qualification
AFR,Africa
AFS,American Field Service
AFT,American Federation of Teachers
AFU,All Fouled Up
AFV,Armored Fighting Vehicle
AFW,Armed Forces Week
AFX,Audio Effects
AFY,Afghan Year
AFZ,Air Force Zone
AGA,American Gas Association
AGB,Altered Growth Behavior
AGC,Automatic Gain Control
AGD,Australian Geodetic Datum
AGE,Aerospace Ground Equipment
AGF,Army Ground Forces
AGG,Aggregate
AGH,Acute General Hospital
AGI,Adjusted Gross Income
AGJ,Advanced Graphics Journal
AGK,Advanced Graphics Kit
AGL,Above Ground Level
AGM,Annual General Meeting
AGN,Active Galactic Nucleus
AGO,Attorney General's Office
AGP,Accelerated Graphics Port
AGQ,Air Quality
AGR,Agriculture
AGS,American Geographical Society
AGT,Automated Guideway Transit
AGU,American Geophysical Union
AGV,Automated Guided Vehicle
AGW,Anthropogenic Global Warming
AGX,Advanced Graphics Exchange
AGY,Aerospace Ground Year
AGZ,Agricultural Zone
AHA,American Heart Association
AHB,Arab Health Board
AHC,Academic Health Center
AHD,American Heritage Dictionary
AHE,Association for Higher Education
AHF,American Health Foundation
AHG,American Health Group
AHH,Acute Hypoxemic Hypoxia
AHI,Apnea-Hypopnea Index
AHJ,Authority Having Jurisdiction
AHK,Advanced Health Kit
AHL,American Hockey League
AHM,American Health Management
AHN,American Health Network
AHO,American Health Organization
AHP,Analytic Hierarchy Process
AHQ,Air Headquarters
AHR,Air Handling Room
AHS,American Horticultural Society
AHT,Average Handle Time
AHU,Air Handling Unit
AHV,Advanced Health Vehicles
AHW,Adolescent Health Week
AHX,Advanced Health Exchange
AHY,Academy Health Year
AHZ,Active Health Zone
AIA,American Institute of Architects
AIB,American Institute of Banking
AIC,Akaike Information Criterion
AID,Agency for International Development
AIE,American Institute of Engineers
AIF,Australian Imperial Force
AIG,American International Group
AIH,American Institute of Homeopathy
AII,American Insurance Institute
AIJ,American Institute of Justice
AIK,Advanced Information Kit
AIL,Acute Illness
AIM,AOL Instant Messenger
AIN,American Institute of Nutrition
AIO,All In One
AIP,American Institute of Physics
AIQ,Artificial Intelligence Quotient
AIR,All India Radio
AIS,Automatic Identification System
AIT,Asian Institute of Technology
AIU,American International University
AIV,Advanced Information Vehicle
AIW,Advanced Information Week
AIX,Advanced Interactive Executive
