CAA,Civil Aviation Authority
CAB,Civil Aeronautics Board
CAC,Central Air Conditioning
CAD,Computer Aided Design
CAE,Computer Aided Engineering
CAF,Central African Federation
CAG,Comptroller and Auditor General
CAH,Central Authentication Hub
CAI,Cairo Airport
CAJ,Central Authentication Journal
CAK,Central Authentication Kit
CAL,California
CAM,Computer Aided Manufacturing
CAN,Canada
CAO,Chief Administrative Officer
CAP,Civil Air Patrol
CAQ,Central Authentication Quality
CAR,Central African Republic
CAS,Chemical Abstracts Service
CAT,Computer Aided Translation
CAU,Central Authentication Unit
CAV,Central Authentication Vehicle
CAW,Central Authentication Week
CAX,Central Authentication Exchange
CAY,Central Authentication Year
CAZ,Central Authentication Zone
CBA,Cost Benefit Analysis
CBB,Central Banking Board
CBC,Canadian Broadcasting Corporation
CBD,Central Business District
CBE,Commander of British Empire
CBF,Central Banking Framework
CBG,Central Banking Group
CBH,Central Banking Hub
CBI,Confederation of British Industry
CBJ,Central Banking Journal
CBK,Central Banking Kit
CBL,Central Banking Laboratory
CBM,Condition Based Maintenance
CBN,Central Banking Network
CBO,Congressional Budget Office
CBP,Customs and Border Protection
CBQ,Central Banking Quality
CBR,Central Banking Repository
CBS,Columbia Broadcasting System
CBT,Computer Based Training
CBU,Central Banking Unit
CBV,Central Banking Vehicle
CBW,Central Banking Week
CBX,Central Banking Exchange
CBY,Central Banking Year
CBZ,Central Banking Zone
CCA,Central Communications Alliance
CCB,Central Communications Board
CCC,Civilian Conservation Corps
CCD,Charge Coupled Device
CCE,Central Communications Engineering
CCF,Central Communications Framework
CCG,Central Communications Group
CCH,Central Communications Hub
CCI,Central Communications Interface
CCJ,Central Communications Journal
CCK,Central Communications Kit
CCL,Central Communications Laboratory
CCM,Central Communications Management
CCN,Central Communications Network
CCO,Chief Compliance Officer
CCP,Chinese Communist Party
CCQ,Central Communications Quality
CCR,Central Communications Repository
CCS,Central Communications System
CCT,Central Communications Technology
CCU,Central Communications Unit
CCV,Central Communications Vehicle
CCW,Central Communications Week
CCX,Central Communications Exchange
CCY,Central Communications Year
CCZ,Central Communications Zone
CDA,Central Data Alliance
CDB,Central Data Board
CDC,Centers for Disease Control
CDD,Central Data Development
CDE,Central Data Engineering
CDF,Central Data Framework
CDG,Charles de Gaulle Airport
CDH,Central Data Hub
CDI,Central Data Interface
CDJ,Central Data Journal
CDK,Central Development Kit
CDL,Commercial Driver License
CDM,Central Data Management
CDN,Content Delivery Network
CDO,Chief Data Officer
CDP,Central Data Platform
CDQ,Central Data Quality
CDR,Call Detail Record
CDS,Central Data System
CDT,Central Daylight Time
CDU,Central Data Unit
CDV,Central Data Vehicle
CDW,Central Data Week
CDX,Central Data Exchange
CDY,Central Data Year
CDZ,Central Data Zone
CEA,Central Engineering Alliance
CEB,Central Engineering Board
CEC,Central Engineering Center
CED,Central Engineering Development
CEE,Central and Eastern Europe
CEF,Central Engineering Framework
CEG,Central Engineering Group
CEH,Central Engineering Hub
CEI,Central Engineering Interface
CEJ,Central Engineering Journal
