EAA,European Aviation Authority
EAB,European Aviation Board
EAC,East African Community
EAD,European Aviation Development
EAE,European Aviation Engineering
EAF,European Aviation Framework
EAG,European Aviation Group
EAH,European Aviation Hub
EAI,European Aviation Interface
EAJ,European Aviation Journal
EAK,European Aviation Kit
EAL,European Aviation Laboratory
EAM,European Aviation Management
EAN,European Article Number
EAO,European Aviation Organization
EAP,European Aviation Platform
EAQ,European Aviation Quality
EAR,European Aviation Repository
EAS,European Aviation System
EAT,European Aviation Technology
EAU,European Aviation Unit
EAV,European Aviation Vehicle
EAW,European Aviation Week
EAX,European Aviation Exchange
EAY,European Aviation Year
EAZ,European Aviation Zone
EBA,European Banking Authority
EBB,European Banking Board
EBC,European Banking Center
EBD,European Banking Development
EBE,European Banking Engineering
EBF,European Banking Framework
EBG,European Banking Group
EBH,European Banking Hub
EBI,European Banking Interface
EBJ,European Banking Journal
EBK,European Banking Kit
EBL,European Banking Laboratory
EBM,European Banking Management
EBN,European Banking Network
EBO,European Banking Organization
EBP,European Banking Platform
EBQ,European Banking Quality
EBR,European Banking Repository
EBS,European Banking System
EBT,European Banking Technology
EBU,European Broadcasting Union
EBV,European Banking Vehicle
EBW,European Banking Week
EBX,European Banking Exchange
EBY,European Banking Year
EBZ,European Banking Zone
ECA,European Communications Alliance
ECB,European Central Bank
ECC,Error Correcting Code
ECD,European Communications Development
ECE,European Communications Engineering
ECF,European Communications Framework
ECG,Electrocardiogram
ECH,European Communications Hub
ECI,European Communications Interface
ECJ,European Communications Journal
ECK,European Communications Kit
ECL,European Communications Laboratory
ECM,Enterprise Content Management
ECN,European Communications Network
ECO,European Communications Organization
ECP,European Communications Platform
ECQ,European Communications Quality
ECR,European Communications Repository
ECS,European Communications System
ECT,European Communications Technology
ECU,European Currency Unit
ECV,European Communications Vehicle
ECW,European Communications Week
ECX,European Communications Exchange
ECY,European Communications Year
ECZ,European Communications Zone
EDA,European Data Alliance
EDB,European Data Board
EDC,European Data Center
EDD,European Data Development
EDE,European Data Engineering
EDF,European Data Framework
EDG,European Data Group
EDH,European Data Hub
EDI,Electronic Data Interchange
EDJ,European Data Journal
EDK,European Data Kit
EDL,European Data Laboratory
EDM,Electronic Dance Music
EDN,European Data Network
EDO,European Data Organization
EDP,Electronic Data Processing
EDQ,European Data Quality
EDR,European Data Repository
EDS,Electronic Data System
EDT,Eastern Daylight Time
EDU,Education
